Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year,MA
466,244.184,0.7088666931646943,0.7817376382855167,488.368,2017_kk_003,Kusko,2017,0.7089216900265952
467,244.708,0.7103790557566867,0.7780866205112588,489.416,2017_kk_003,Kusko,2017,0.7089052078638247
468,245.232,0.7106047101206272,0.7636236062344446,490.464,2017_kk_003,Kusko,2017,0.7088935612420889
469,245.756,0.7088440760253163,0.7767557544957,491.512,2017_kk_003,Kusko,2017,0.7088742769097522
470,246.28,0.7078450018596931,0.7740456681488931,492.56,2017_kk_003,Kusko,2017,0.7088917325020644
471,246.804,0.7091195517555665,0.7502681289268066,493.608,2017_kk_003,Kusko,2017,0.7088734207189565
472,247.328,0.7095422878003699,0.7607805272728347,494.656,2017_kk_003,Kusko,2017,0.7088935204540301
473,247.852,0.7091199107400395,0.768712165264537,495.704,2017_kk_003,Kusko,2017,0.7088619809234948
474,248.376,0.7090709735931326,0.7587787989221,496.752,2017_kk_003,Kusko,2017,0.7088668266656003
475,248.9,0.7085671191182744,0.7504870837763395,497.8,2017_kk_003,Kusko,2017,0.7088845504547996
476,249.424,0.7095306628440581,0.7522625296664797,498.848,2017_kk_003,Kusko,2017,0.7089005197959606
477,249.948,0.7082288058326993,0.7517100891264201,499.896,2017_kk_003,Kusko,2017,0.7088782585838546
478,250.472,0.7084197997612981,0.7343234310259176,500.944,2017_kk_003,Kusko,2017,0.7088400695559324
479,250.996,0.7080569779066906,0.7284640998107331,501.992,2017_kk_003,Kusko,2017,0.7088412268712698
480,251.52,0.7084637704203418,0.7484269091984103,503.04,2017_kk_003,Kusko,2017,0.7088400055624773
481,252.044,0.7093797666079786,0.7474490133570644,504.088,2017_kk_003,Kusko,2017,0.7088302310093152
482,252.568,0.7091045526921509,0.7454803384639481,505.136,2017_kk_003,Kusko,2017,0.7088389627628782
483,253.092,0.7082930115967158,0.7317349996046674,506.184,2017_kk_003,Kusko,2017,0.7088212263397838
484,253.616,0.70970010887852375,0.7356098768349162,507.232,2017_kk_003,Kusko,2017,0.7088359387699545
485,254.14,0.7104393530760624,0.7242754933519864,508.28,2017_kk_003,Kusko,2017,0.70881004675609
486,254.664,0.70739125635881,0.7354027954484672,509.328,2017_kk_003,Kusko,2017,0.7088113537011892
487,255.188,0.7100007108286956,0.7320692219385984,510.376,2017_kk_003,Kusko,2017,0.7088228422633999
488,255.712,0.7080784130901407,0.7385987770097434,511.424,2017_kk_003,Kusko,2017,0.7088220103768215
489,256.236,0.7093577563960503,0.7238892510411437,512.472,2017_kk_003,Kusko,2017,0.7087936064374902
490,256.76,0.7099023959465814,0.7204841141977122,513.52,2017_kk_003,Kusko,2017,0.7088188044262306
491,257.284,0.7105151947607145,0.7259992473350706,514.568,2017_kk_003,Kusko,2017,0.7088342024347801
492,257.808,0.7097570500079554,0.7198212231383889,515.616,2017_kk_003,Kusko,2017,0.7088013741407309
493,258.332,0.7092171888794794,0.7122759545217786,516.664,2017_kk_003,Kusko,2017,0.7087820515400315
494,258.856,0.7083383926941053,0.7240256353480224,517.712,2017_kk_003,Kusko,2017,0.7087903461272889
495,259.38,0.7090256060025646,0.7379203068456303,518.76,2017_kk_003,Kusko,2017,0.7088045490591142
496,259.904,0.7095454152667944,0.7159521288848663,519.808,2017_kk_003,Kusko,2017,0.7087748002333251
497,260.428,0.7080650532452161,0.7176285224151573,520.856,2017_kk_003,Kusko,2017,0.7087361566722646
498,260.952,0.7099370287217671,0.7215317171059719,521.904,2017_kk_003,Kusko,2017,0.7087018609549047
499,261.476,0.7078904437219352,0.7073025083850832,522.952,2017_kk_003,Kusko,2017,0.7087001224336333
500,262,0.7089379987611515,0.6983865636583667,524,2017_kk_003,Kusko,2017,0.7087257134796524
501,262.524,0.707295166633123,0.6815701472147073,525.048,2017_kk_003,Kusko,2017,0.7087300658047048
502,263.048,0.708417331933839,0.7048571346572812,526.096,2017_kk_003,Kusko,2017,0.7087129756038639
503,263.572,0.7079858955761682,0.6750011442107682,527.144,2017_kk_003,Kusko,2017,0.7086879523677844
504,264.096,0.7089385790725303,0.6813198523052454,528.192,2017_kk_003,Kusko,2017,0.7086736906247759
505,264.62,0.7100860173255135,0.6918506773886645,529.24,2017_kk_003,Kusko,2017,0.7086678881723822
506,265.144,0.7084065093238907,0.6945669069354001,530.288,2017_kk_003,Kusko,2017,0.7086582302623974
507,265.668,0.7074348300038396,0.6708094755657816,531.336,2017_kk_003,Kusko,2017,0.7086683557206029
508,266.192,0.7069907196847864,0.6736671166788591,532.384,2017_kk_003,Kusko,2017,0.7086858971227598
509,266.716,0.7092640412770831,0.7007673317446199,533.432,2017_kk_003,Kusko,2017,0.7087060094268932
510,267.24,0.7087589958758219,0.6980580147608151,534.48,2017_kk_003,Kusko,2017,0.7087143319507778
511,267.764,0.7080980019237366,0.6793698851784008,535.528,2017_kk_003,Kusko,2017,0.708669431842549
512,268.288,0.7089100432304393,0.6911666711073183,536.576,2017_kk_003,Kusko,2017,0.7086492018195888
513,268.812,0.7080617722784976,0.7223795981394576,537.624,2017_kk_003,Kusko,2017,0.7086652445135274
514,269.336,0.7080645783966836,0.6859248962493877,538.672,2017_kk_003,Kusko,2017,0.7086314751995048
515,269.86,0.7078236720465484,0.6901965407071264,539.72,2017_kk_003,Kusko,2017,0.7085877537482811
516,270.384,0.7093814764417015,0.7007362555592687,540.768,2017_kk_003,Kusko,2017,0.7085997175552061
517,270.908,0.7086815774248395,0.743069913265241,541.816,2017_kk_003,Kusko,2017,0.708575647812515
