Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year,MA
955,500.42,0.7091877803565697,0.740288734330488,1000.84,2017_kk_089redo,Kusko,2017,0.7091307475203763
956,500.944,0.708480236852666,0.7307776904987965,1001.888,2017_kk_089redo,Kusko,2017,0.7091446440413421
957,501.468,0.7100822838297736,0.7436377906746642,1002.936,2017_kk_089redo,Kusko,2017,0.709152968493873
958,501.992,0.70809495260992406,0.7382925954292533,1003.984,2017_kk_089redo,Kusko,2017,0.7091615362709137
959,502.516,0.7075453642074483,0.7347622413117859,1005.032,2017_kk_089redo,Kusko,2017,0.7091265690239
960,503.04,0.7099586404992461,0.7288192220939931,1006.08,2017_kk_089redo,Kusko,2017,0.7091291141076497
961,503.564,0.7093439334776174,0.7142973740622373,1007.128,2017_kk_089redo,Kusko,2017,0.7091168814072291
962,504.088,0.7090887741348008,0.7001988457044072,1008.176,2017_kk_089redo,Kusko,2017,0.7091391273343725
963,504.612,0.708377329014741,0.708489175883113,1009.224,2017_kk_089redo,Kusko,2017,0.7091709687791456
964,505.136,0.7091193243671,0.7177627859255138,1010.272,2017_kk_089redo,Kusko,2017,0.7091511077397616
965,505.66,0.7094606000002489,0.7203946823382872,1011.32,2017_kk_089redo,Kusko,2017,0.7091516207501976
966,506.184,0.7094636598297944,0.7295056580177799,1012.368,2017_kk_089redo,Kusko,2017,0.7091518066889525
967,506.708,0.7091922625961721,0.7405252014278514,1013.416,2017_kk_089redo,Kusko,2017,0.7091581039278532
968,507.232,0.7088804769982169,0.744149700266387,1014.464,2017_kk_089redo,Kusko,2017,0.709164810956803
969,507.756,0.7075877823202282,0.7374282672819951,1015.512,2017_kk_089redo,Kusko,2017,0.7091354035144841
970,508.28,0.7092581535529181,0.7260778503216536,1016.56,2017_kk_089redo,Kusko,2017,0.7091234899529578
971,508.804,0.7081850251373935,0.7116311195370724,1017.608,2017_kk_089redo,Kusko,2017,0.7091152229854463
972,509.328,0.7113076572701043,0.7150796016543879,1018.656,2017_kk_089redo,Kusko,2017,0.709094905883545
973,509.852,0.7092909048050314,0.69587962766966,1019.704,2017_kk_089redo,Kusko,2017,0.7090763654282383
974,510.376,0.709358312490421,0.6830641758091978,1020.752,2017_kk_089redo,Kusko,2017,0.7090732334784718
975,510.9,0.7080274840735017,0.6899717085675279,1021.8,2017_kk_089redo,Kusko,2017,0.709059031776493
976,511.424,0.70908151028698585,0.7014162008909273,1022.848,2017_kk_089redo,Kusko,2017,0.7090267007776646
977,511.948,0.709228238806465,0.6907659470939101,1023.896,2017_kk_089redo,Kusko,2017,0.7090511368266531
978,512.472,0.7093012244879184,0.6831670206381858,1024.944,2017_kk_089redo,Kusko,2017,0.7090652044043926
979,512.996,0.7087372048664101,0.714834944634987,1025.992,2017_kk_089redo,Kusko,2017,0.7090539151758233
980,513.52,0.7093723656504138,0.7195225435055543,1027.04,2017_kk_089redo,Kusko,2017,0.7090554638434906
981,514.044,0.709273159758684,0.7109073777823928,1028.088,2017_kk_089redo,Kusko,2017,0.7090516446994546
982,514.568,0.7085004185808333,0.7136405422500106,1029.136,2017_kk_089redo,Kusko,2017,0.7090344792468237
983,515.092,0.7090130000743456,0.7110819771651556,1030.184,2017_kk_089redo,Kusko,2017,0.7090069674699749
984,515.616,0.7097886534862086,0.7131494960519091,1031.232,2017_kk_089redo,Kusko,2017,0.7089818168041396
985,516.14,0.7109158443032296,0.7121148584469006,1032.28,2017_kk_089redo,Kusko,2017,0.7089823777678176
986,516.664,0.7097017395030422,0.7088667343574181,1033.328,2017_kk_089redo,Kusko,2017,0.7089824615624785
987,517.188,0.7098109718875929,0.7035141228029882,1034.376,2017_kk_089redo,Kusko,2017,0.7090007638132465
988,517.712,0.7086399601104965,0.7094687971904826,1035.424,2017_kk_089redo,Kusko,2017,0.7089938641603258
989,518.236,0.7077221901165058,0.7226226380311846,1036.472,2017_kk_089redo,Kusko,2017,0.7089727006597736
990,518.76,0.7104985717815558,0.7210345432678477,1037.52,2017_kk_089redo,Kusko,2017,0.7089619981633344
991,519.284,0.7078484264027526,0.7203401370357432,1038.568,2017_kk_089redo,Kusko,2017,0.7089907792112181
992,519.808,0.7098106649069138,0.7071882925981242,1039.616,2017_kk_089redo,Kusko,2017,0.70900282013602
993,520.332,0.7098842668175314,0.7119582032738766,1040.664,2017_kk_089redo,Kusko,2017,0.7090348220514999
994,520.856,0.7083611407615219,0.7227098070918174,1041.712,2017_kk_089redo,Kusko,2017,0.7090160543151627
995,521.38,0.7085142069645656,0.7074922869722252,1042.76,2017_kk_089redo,Kusko,2017,0.709006364860996
996,521.904,0.7088509901081036,0.7003090030338174,1043.808,2017_kk_089redo,Kusko,2017,0.7089771080020749
997,522.428,0.7094511969863521,0.6916820766503585,1044.856,2017_kk_089redo,Kusko,2017,0.7089656853620296
998,522.952,0.7089470534571859,0.680198491582086,1045.904,2017_kk_089redo,Kusko,2017,0.7089589442151849
