Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year,MA
356,186.544,0.7088860225953256,0.930725605171964,373.088,2017_kk_195a,Kusko,2017,0.7088896748285467
357,187.068,0.7091650452331306,0.9245556320196714,374.136,2017_kk_195a,Kusko,2017,0.7088682630938583
358,187.592,0.7083428638404342,0.9290813240018492,375.184,2017_kk_195a,Kusko,2017,0.70884787622173
359,188.116,0.7079375541035227,0.9456128867771536,376.232,2017_kk_195a,Kusko,2017,0.7088482593403086
360,188.64,0.7073676772967831,0.9380529697090564,377.28,2017_kk_195a,Kusko,2017,0.7088695161853739
361,189.164,0.7092773472526247,0.9257996455461944,378.328,2017_kk_195a,Kusko,2017,0.708869843884965
362,189.688,0.7082633716832133,0.9332437019560784,379.376,2017_kk_195a,Kusko,2017,0.7088653410836622
363,190.212,0.7090487536303971,0.9405191075255056,380.424,2017_kk_195a,Kusko,2017,0.7088622711688947
364,190.736,0.7091491792942841,0.9327000422698004,381.472,2017_kk_195a,Kusko,2017,0.7088295383648979
365,191.26,0.7091157251115078,0.9071822163625416,382.52,2017_kk_195a,Kusko,2017,0.7087984135788317
366,191.784,0.7078095134859135,0.9193475138019238,383.568,2017_kk_195a,Kusko,2017,0.7088150853655366
367,192.308,0.7081659468258034,0.918050353197458,384.616,2017_kk_195a,Kusko,2017,0.7088302263751387
368,192.832,0.7098663007830561,0.9082364684403704,385.664,2017_kk_195a,Kusko,2017,0.7088270654752364
369,193.356,0.708846069165468,0.926635021591242,386.712,2017_kk_195a,Kusko,2017,0.7088390137989483
370,193.88,0.7103501034927115,0.9425073563061356,387.76,2017_kk_195a,Kusko,2017,0.708852058301016
371,194.404,0.7086977546124777,0.9522637496256624,388.808,2017_kk_195a,Kusko,2017,0.7088582573508364
372,194.928,0.7093957861167227,0.9673394457490424,389.856,2017_kk_195a,Kusko,2017,0.7088157101283556
373,195.452,0.7073705131504436,0.9596758296730038,390.904,2017_kk_195a,Kusko,2017,0.7088101780963653
374,195.976,0.7095187326356253,0.9294139953660812,391.952,2017_kk_195a,Kusko,2017,0.7087989467746133
375,196.5,0.7084729061336221,0.9094286786338917,393,2017_kk_195a,Kusko,2017,0.7088033711811803
376,197.024,0.7094729110941264,0.9076519438031296,394.048,2017_kk_195a,Kusko,2017,0.7087798607876272
377,197.548,0.7092111179571932,0.9169076355041744,395.096,2017_kk_195a,Kusko,2017,0.7087805116626382
378,198.072,0.7075903114875234,0.9387312163649008,396.144,2017_kk_195a,Kusko,2017,0.7087481769449124
379,198.596,0.7093241025346783,0.927864955903,397.192,2017_kk_195a,Kusko,2017,0.7087342144847929
380,199.12,0.7088295239922967,0.917507787782929,398.24,2017_kk_195a,Kusko,2017,0.7087596709680469
381,199.644,0.7084953176821418,0.9342166684307862,399.288,2017_kk_195a,Kusko,2017,0.708787563518256
382,200.168,0.7073838339420963,0.9462134569897558,400.336,2017_kk_195a,Kusko,2017,0.7087744818760104
383,200.692,0.709129715561967,0.9488320958143852,401.384,2017_kk_195a,Kusko,2017,0.7087561911419286
384,201.216,0.7077446084159473,0.9484723177867016,402.432,2017_kk_195a,Kusko,2017,0.7087175860775108
385,201.74,0.7087934011349092,0.949027770859078,403.48,2017_kk_195a,Kusko,2017,0.708704698746269
386,202.264,0.7102502385395304,0.9611862621975792,404.528,2017_kk_195a,Kusko,2017,0.7086936617549319
387,202.788,0.7087784008732729,0.9587562009005904,405.576,2017_kk_195a,Kusko,2017,0.7086601886710103
388,203.312,0.7074426848716253,0.947109600489057,406.624,2017_kk_195a,Kusko,2017,0.708651354048022
389,203.836,0.7094261440046251,0.925070602538375,407.672,2017_kk_195a,Kusko,2017,0.7086773684322402
390,204.36,0.7098645876223872,0.9107419192691036,408.72,2017_kk_195a,Kusko,2017,0.7087214413265642
391,204.884,0.7088146023458147,0.9019659807943712,409.768,2017_kk_195a,Kusko,2017,0.7086929211215705
392,205.408,0.7088608732280678,0.8885533292062708,410.816,2017_kk_195a,Kusko,2017,0.7087037259433708
393,205.932,0.7070353463013334,0.9003612833823067,411.864,2017_kk_195a,Kusko,2017,0.7087091173266312
